,,,,AR_avg,AR_min,AR_min/max,nDCG_avg,nDCG_min,nDCG_min/max
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg20_sim_group_2,0.007579333927615848,0.00557720044143276,0.6081344364855958,0.17878609422309838,0.12736238230792027,0.5809311453280073
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg20_sim_group_2_weighted,0.007430514809050545,0.0038917437771162156,0.40284500762287934,0.17457271851977926,0.09315262836668187,0.40770560290495583
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0,0.006332823060542452,0.004759781653536026,0.626591943573999,0.15594584838552428,0.11737649665146117,0.623005978296986
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0_weighted,0.00678057958410367,0.003467226048580205,0.39630598129715844,0.16214870778050838,0.08801155871754149,0.41739421611162064
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_FuzzyDHondt_1.0,0.007627396321129893,0.005966153346520535,0.6610212303836429,0.17855023171113998,0.1351707595542041,0.6310249493558274
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_FuzzyDHondt_1.0_weighted,0.007505105178948385,0.00475130623560823,0.5054447196303505,0.17539645463021233,0.10941861473958762,0.49199526088410983
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_GFAR_1.0,0.008332697046159472,0.0066847623756942295,0.6866967281381348,0.18649413854485847,0.14777241173570874,0.6731215777941901
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_GreedyLM_1.0,0.008127891556890362,0.0065060662417756356,0.6834320145804278,0.18500454158707028,0.1442622967767956,0.6566256799322805
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_avg_sim_group_2_SPGreedy_1.0,0.007605979203101098,0.0056316387785823735,0.6144416661741231,0.17271511766934644,0.12565022828176037,0.6009732125173262
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_fai_sim_group_2,0.008283474249484989,0.006642174546368528,0.6863530716843089,0.1777217628538315,0.14050889295296234,0.6733828922024301
resultRaw_coupled_unbiased_0,sim,2,mf_230_1.0_xpo_sim_group_2,0.008355824177102516,0.0066915030458915,0.6857147029895558,0.1725833723695558,0.13193705570490605,0.6405081020663412
resultRaw_coupled_unbiased_0,sim,2,mf_data_fai_sim_group_2,0.008304912618976824,0.006674854022238937,0.6895225043825529,0.17842408970244183,0.14217205920334902,0.6793581829676658
resultRaw_coupled_unbiased_0,sim,2,mf_data_xpo_sim_group_2,0.00836928339850948,0.006718322188239471,0.6891331742205893,0.1723488074421876,0.1324578540841429,0.6459691730254551
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_avg20_sim_group_4,0.005482171458418752,0.002807691849208553,0.34625414833904405,0.12980600658430466,0.061413008174434465,0.30904482823424095
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_avg_sim_group_4_FuzzyDHondtDirectOptimize_1.0,0.004950400788991915,0.0026280541215997996,0.36052066046629666,0.11499711793715196,0.05961911733957868,0.34722574792527094
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_avg_sim_group_4_FuzzyDHondt_1.0,0.005513204454163256,0.0030041542391545757,0.3769120014254817,0.1294846376235602,0.0672081609955083,0.35005730486782777
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_avg_sim_group_4_GFAR_1.0,0.0056209900937487164,0.003492845445177574,0.4518333792659177,0.13077489622233318,0.07643096041379935,0.4131218319400382
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_avg_sim_group_4_GreedyLM_1.0,0.005659579898528975,0.003322601076617592,0.4166993729902152,0.1314392338999542,0.07273820265006586,0.38118150822446856
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_avg_sim_group_4_SPGreedy_1.0,0.005534757494935627,0.002969695117192103,0.37009104812270477,0.1233803133807025,0.06594213348607558,0.36725171086716285
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_fai_sim_group_4,0.005341424636000435,0.0032923039407210353,0.4464540413108044,0.11374158323375802,0.0687057256901094,0.4326447659131943
resultRaw_coupled_unbiased_0,sim,4,mf_230_1.0_xpo_sim_group_4,0.005746722804523891,0.0034688528644771072,0.43405613064569015,0.122173805041428,0.06920334098366793,0.3956371121327917
resultRaw_coupled_unbiased_0,sim,8,mf_230_1.0_avg20_sim_group_8,0.004034374291832969,0.001158898255905108,0.15328765843264164,0.09408826397868578,0.0236624701744017,0.13050053277507212
resultRaw_coupled_unbiased_0,sim,8,mf_230_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_1.0,0.003626113384166678,0.0011414660530271433,0.17048144033881862,0.08158971111592364,0.023606436543247084,0.15190580656430097
resultRaw_coupled_unbiased_0,sim,8,mf_230_1.0_avg_sim_group_8_FuzzyDHondt_1.0,0.004054996272566108,0.001362284013637097,0.18759851784177228,0.09404616426410867,0.02854266765229107,0.16462074752200567
resultRaw_coupled_unbiased_0,sim,8,mf_230_1.0_avg_sim_group_8_GFAR_1.0,0.004274912590189375,0.0016368040754235638,0.22353435043957792,0.09856396745904467,0.03417614998193714,0.19500776402358871
resultRaw_coupled_unbiased_0,sim,8,mf_230_1.0_avg_sim_group_8_GreedyLM_1.0,0.004125187852419079,0.001579828855939725,0.22052685917519216,0.09506823301813286,0.03242721652747039,0.18744990054913133
