,,,,AR_avg,AR_min,AR_min/max,nDCG_avg,nDCG_min,nDCG_min/max
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_AVG,0.00816904579097825,0.004646935279084268,0.4471699677678199,0.13474164859603252,0.0794365987964682,0.42912963737562526
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_FuzzyDHondtDirectOptimize_1.0,0.008256386069024933,0.0044710555262370165,0.4353722305380203,0.13153240427107948,0.08033329920781523,0.45811652170459793
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_FuzzyDHondt_1.0,0.00790063654837332,0.0044622177396331794,0.4334523708594976,0.13036871559110252,0.07639210311125788,0.4152951855051228
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_GFAR_1.0,0.009506508377875311,0.005720197638268486,0.49883476662800424,0.1450958210834003,0.09256010040720608,0.4975084781344552
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_GreedyLM_1.0,0.009068127126276946,0.0054193969941479505,0.4868658933461962,0.13969459516390023,0.08846283948593643,0.48254942621198027
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_pref_AVG,0.00837887353403538,0.004302005302426636,0.3986497534522079,0.13530383221856343,0.07256087933853508,0.39010630406160274
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_avg_sim_group_2_SPGreedy_1.0,0.008414833989979671,0.004887953333548893,0.4628778816441073,0.13701550196376786,0.0835520198442168,0.454384459730826
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_fai_sim_group_2,0.009507085012411813,0.005721018796487536,0.497801651157464,0.14307955064609276,0.09045830914231266,0.4950106375511624
resultRaw_coupled_unbiased_0,sim,2,mf_30_1.0_xpo_sim_group_2,0.009532105142488761,0.005742694784770903,0.499301832150257,0.1285087732578306,0.08056347755504788,0.48918749298118924
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_AVG,0.006341825877142678,0.0017471957020351815,0.18719696184061418,0.10464337522250891,0.03021762616314115,0.17285715749266106
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_FuzzyDHondtDirectOptimize_1.0,0.006501473587564953,0.0017171216911575158,0.17655027895623232,0.09948414013552503,0.03164453632483502,0.1929737026548847
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_FuzzyDHondt_1.0,0.005801967099858162,0.0015637535484790274,0.17280756294860836,0.09716376012277922,0.027294084696925024,0.15726188875693362
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_GFAR_1.0,0.007545052825407869,0.002468066552972935,0.23207272995341138,0.11535162973472632,0.04266108159034454,0.2430901282184594
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_GreedyLM_1.0,0.00703521910179431,0.002236836757528467,0.221251808568581,0.10970963405805766,0.03855026576750436,0.2211998534115958
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_pref_AVG,0.006196893069049718,0.00138845716029731,0.14141977535103822,0.10221837085729046,0.024153422756930235,0.13491338256875157
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_avg_sim_group_4_SPGreedy_1.0,0.006668545412454799,0.001977667807059561,0.20791539137493223,0.10821647269718153,0.03604277038301821,0.21075438990910192
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_fai_sim_group_4,0.007361430218427773,0.0023416999098651056,0.22543376863475126,0.10911934205000771,0.040096537453830246,0.24600230662327222
resultRaw_coupled_unbiased_0,sim,4,mf_30_1.0_xpo_sim_group_4,0.007581557011096938,0.002423661886902035,0.22530707919159382,0.10574645487294858,0.03869681379496204,0.23933974289437993
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_AVG,0.0048772879832652775,0.0004639434024765467,0.05411237327125206,0.0799163720712625,0.008450970104858919,0.05139000340543034
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_FuzzyDHondtDirectOptimize_1.0,0.004927030956845339,0.00047707515899650925,0.05391710759412123,0.07541978566834107,0.009307599658002328,0.060340219971237105
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_FuzzyDHondt_1.0,0.004211914201657334,0.0003946839029657921,0.04638626952210513,0.07027227438464903,0.007159151618110921,0.04367567022996715
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_GFAR_1.0,0.005908229159673616,0.0007395178902260313,0.07265564757764167,0.08998337387801861,0.014068812531784998,0.08121070087656018
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_GreedyLM_1.0,0.005187188203434457,0.0006701559628196926,0.07541373397868625,0.08220575061349648,0.01190292960003512,0.07385118243580091
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_pref_AVG,0.004689857629628609,0.00031192069538102336,0.03529306520208447,0.07633337889435239,0.005836868118181594,0.03529179394345904
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_avg_sim_group_8_SPGreedy_1.0,0.005197733986404366,0.0006343519064581879,0.07168596328102608,0.08313587689034783,0.012146157900460862,0.07712292127437177
resultRaw_coupled_unbiased_0,sim,8,mf_30_1.0_fai_sim_group_8,0.005360640750260243,0.0006859188572459208,0.07422748024605838,0.07827695959870742,0.012614147943732414,0.08664250686159644
